Spill Number,Program Facility Name,Street 1,Street 2,Locality,County,ZIP Code,SWIS Code,DEC Region,Spill Date,Received Date,Contributing Factor,Waterbody,Source,Close Date,Material Name,Material Family,Quantity,Units,Recovered
0304214,CULL RESIDENCE,88 FARAH LN,,MIDDLETOWN,Orange,,3609,3,07/22/2003,07/22/2003,Deliberate,,Private Dwelling,07/30/2003,#2 fuel oil,Petroleum,0,Gallons,0
0008342,GREER TOYOTA,1420 RT 9,,WAPPINGERS FALLS,Dutchess,,1400,3,10/12/2000,10/17/2000,Tank Failure,,Commercial/Industrial,10/17/2000,waste oil/used oil,Petroleum,0,Gallons,0
0405793,MANHOLE #58430,W 59TH ST / 12TH AV,,MANHATTAN,New York,,3101,2,08/26/2004,08/26/2004,Unknown,,Unknown,10/23/2006,unknown petroleum,Petroleum,1,,0
0405793,MANHOLE #58430,W 59TH ST / 12TH AV,,MANHATTAN,New York,,3101,2,08/26/2004,08/26/2004,Unknown,,Unknown,10/23/2006,unknown petroleum,Petroleum,1,Pounds,0
0313032,MANHOLE #6014,156-170 WEST 42ND STREET,,MANHATTAN,New York,,3101,2,02/26/2004,02/26/2004,Unknown,,Unknown,07/15/2004,unknown petroleum,Petroleum,2,Gallons,0
9814599,MANHOLE 2981,CLASSON AVE & FULTON ST,,BROOKLYN,Kings,,2401,2,03/08/1999,03/08/1999,Unknown,,Unknown,03/22/1999,unknown petroleum,Petroleum,4,Gallons,0
0401659,MANHOLE 4467,GRAND ARMY PLAZA/BANDERBI,,BROOKLYN,Kings,,2401,2,05/15/2004,05/15/2004,Unknown,,Unknown,09/14/2004,unknown petroleum,Petroleum,1,Gallons,0
0011768,MANHOLE 829,WILLIAMSBURG PL & PARK AV,,NEW YORK CITY,Kings,,2401,2,01/31/2001,01/31/2001,Unknown,,Unknown,06/05/2001,unknown petroleum,Petroleum,1,Gallons,0
0208773,MH 17516,LOCUST AV/E 140TH ST,,BRONX,Bronx,,0301,2,11/23/2002,11/24/2002,Unknown,,Unknown,11/27/2002,unknown material,Other,1,Gallons,0
0260008,MOBIL OIL COMPANY,452 GRANT BOULEVARD,,SYRACUSE,Onondaga,,3415,7,04/19/2002,04/19/2002,Equipment Failure,,Gasoline Station or other PBS Facility,04/24/2002,gasoline,Petroleum,3,Gallons,3
9601810,MORGAN RD,BWTN RT31 & WETZEL RD,,LIVERPOOL,Onondaga,,3400,7,05/05/1996,05/06/1996,Unknown,,Unknown,07/30/1996,waste oil/used oil,Petroleum,0,Gallons,0
0203407,MR. PRASAUD,317 WOODBINE ST,,BROOKLYN,Kings,,2401,2,07/01/2002,07/01/2002,Equipment Failure,,Commercial Vehicle,12/15/2003,#2 fuel oil,Petroleum,3,Gallons,0
9510933,NEUBERGER RESIDENCE,2 TRINITY PL,,RHINEBECK,Dutchess,,1450,3,11/30/1995,11/30/1995,Tank Overfill,,Private Dwelling,12/04/1995,#2 fuel oil,Petroleum,1,Gallons,1
0405145,NIMO,100 BLOCK DIDAMA ST,,SYRACUSE,Onondaga,,3415,7,08/10/2004,08/10/2004,Equipment Failure,,Commercial Vehicle,09/13/2004,hydraulic oil,Petroleum,2,Gallons,0
0405145,NIMO,100 BLOCK DIDAMA ST,,SYRACUSE,Onondaga,,3415,7,08/10/2004,08/10/2004,Equipment Failure,,Commercial Vehicle,09/13/2004,hydraulic oil,Petroleum,2,Gallons,2
9600156,NIMO GARAGE,47 MILL ST,,MIDDLE FALLS,Saratoga,,4600,5,04/03/1996,04/03/1996,Equipment Failure,,Commercial Vehicle,07/22/1996,hydraulic oil,Petroleum,2,Gallons,2
0360027,OIL ON ROADWAY,TURNPIKE ROAD,,THROOP AURELIUS,Cayuga,,0600,7,07/21/2003,07/21/2003,Equipment Failure,,Unknown,08/06/2003,unknown petroleum,Petroleum,0,Gallons,0
0400255,PRIVATE RESIDENCE,133 -45 114TH STREET,,QUEENS,Queens,,4101,2,04/08/2004,04/08/2004,Human Error,,Private Dwelling,04/08/2004,paint,Other,0,Pounds,0
9960027,ROUTE 3 BRIDGE PROJECTS,RT 3,,FULTON,Oswego,,3804,7,08/11/1999,08/11/1999,Unknown,,Unknown,01/10/2000,paint,Other,0,Gallons,0
9960027,ROUTE 3 BRIDGE PROJECTS,RT 3,,FULTON,Oswego,,3804,7,08/11/1999,08/11/1999,Unknown,,Unknown,01/10/2000,unknown petroleum,Petroleum,0,Gallons,0
0405339,"RT 17M, BETWEEN",ST RT 17/HARRIMAN,,HARRIMAN,Orange,,3600,3,08/16/2004,08/16/2004,Other,,Commercial Vehicle,08/16/2004,#2 fuel oil,Petroleum,0,,0
0405339,"RT 17M, BETWEEN",ST RT 17/HARRIMAN,,HARRIMAN,Orange,,3600,3,08/16/2004,08/16/2004,Other,,Commercial Vehicle,08/16/2004,#2 fuel oil,Petroleum,0,Pounds,0
9903892,SOUTH OF BAYVIEW AVE,WEST SIDE OF SEAGATE AVE,,BROOKLYN,Kings,,2401,2,07/05/1999,07/05/1999,Equipment Failure,,Commercial/Industrial,04/04/2002,transformer oil,Petroleum,1,Gallons,0
0201083,SUN UP TRUCK PLAZA,2023 RT 104,,PERSH,Oswego,,3800,7,04/08/2002,04/29/2002,Unknown,,Unknown,10/31/2003,gasoline,Petroleum,0,Gallons,0
9603997,THRUWAY EXIT 34A,I-90,NYS THRUWAY,SYRACUSE,Onondaga,,3415,7,06/24/1996,06/24/1996,Traffic Accident,,Commercial Vehicle,07/03/1996,lime,Other,10,Gallons,0
0311082,VACANT PROPERTY,RT 209 & CLAY HILL RD,,KERHONKSON,Ulster,,5600,3,12/29/2003,12/29/2003,Other,,Commercial/Industrial,02/27/2004,gasoline,Petroleum,0,Pounds,0
0101621,VAULT 8754,135 WEST 74TH ST,,MANHATTAN,New York,,3101,2,05/11/2001,05/11/2001,Equipment Failure,,Commercial/Industrial,07/17/2003,dielectric fluid,Petroleum,40,Gallons,0
0211713,VS 4673,5TH AVE / EAST 47TH ST,,MANHATTAN,New York,,3101,2,02/26/2003,02/26/2003,Unknown,,Unknown,02/09/2004,unknown petroleum,Petroleum,3,Gallons,0
0312312,WEST 42 SUBSTATION,521 WEST 41 ST,,MANHATTAN,New York,,3101,2,02/05/2004,02/05/2004,Equipment Failure,,Commercial/Industrial,04/15/2004,transformer oil,Petroleum,1,Gallons,0
1204533,# 02 PIT BARTON MINES,13 LAKE RD,,NORTH CREEEK,Warren,,5730,5,08/06/2012,08/06/2012,Equipment Failure,,Commercial/Industrial,08/08/2012,hydraulic oil,Petroleum,10,Gallons,0
9102393,# 1 IMPORT CENTER,202 DEVOE AVE,,YONKERS,Westchester,,6018,3,05/30/1991,05/30/1991,Deliberate,,Private Dwelling,06/12/1991,waste oil/used oil,Petroleum,0,,0
1307174,# 137/KOWALIK RES.: 550 UST,160 HOLSAPPLE RD.,,DOVER PLAINS,Dutchess,,1426,3,10/10/2013,10/10/2013,Tank Test Failure,,Commercial/Industrial,11/20/2013,#2 fuel oil,Petroleum,0,,0
1200610,# 2 SPIER RIGHT AWAY POLE # 72,# 2 SPIER RIGHT AWAY POLE # 72,,CHARLTON,Saratoga,,4622,5,04/20/2012,04/20/2012,Equipment Failure,,Commercial Vehicle,11/14/2012,hydraulic oil,Petroleum,1,Gallons,0
0706917,# 3 ASH EXTRACTOR,100 ENERGY BLVD,,NIAGARA FALLS,Niagara,,3211,9,09/21/2007,09/22/2007,Equipment Failure,,Commercial/Industrial,09/24/2007,hydraulic oil,Petroleum,40,Gallons,40
9411997,# 3073 RT. 9G,RR 1 BOX 82 #3073 RT. 9G,,TIVOLI,Dutchess,,1400,3,12/01/1994,12/08/1994,Other,,Gasoline Station or other PBS Facility,12/20/1994,gasoline,Petroleum,0,,0
9411488,# 5 ROCKAWAY INLET,# 5 ROCKAWAY INLET,,QUEENS,Queens,,4101,2,11/29/1994,11/29/1994,Unknown,,Unknown,11/29/1994,unknown petroleum,Petroleum,0,Gallons,0
1010077,# 7 SUBWAY LINE,STEINWAY TUBE C1 C2,43+00-45+00,MANHATTAN,New York,,3101,2,12/22/2010,12/22/2010,Equipment Failure,,Unknown,12/30/2010,#6 fuel oil,Petroleum,4,Gallons,0
9112639,# 9 AQUARIUS STREET,9 AQUARIUS STREET,,MONROE,Orange,,3640,3,03/11/1992,03/11/1992,Housekeeping,,Unknown,10/05/1995,diesel,Petroleum,0,Pounds,0
1106340,# POLE OVER HEAD,410 HUNTER STREET,,MAMARONECK,Westchester,,6032,3,08/29/2011,08/29/2011,Other,,"Major Facility (MOSF) > 400,000 gal",09/07/2011,transformer oil,Petroleum,1,Gallons,0
1307377,# UNIT 187 RES.: 300 UST,160 HOLSAPPLE RD,,DOVER PLAINS,Dutchess,,1426,3,10/17/2013,10/17/2013,Tank Test Failure,,Private Dwelling,11/20/2013,#2 fuel oil,Petroleum,0,Gallons,0
0314223,#,65 LAKE ROAD,,CONGERS,Rockland,,4426,3,03/29/2004,03/29/2004,Unknown,,Gasoline Station or other PBS Facility,07/13/2010,gasoline,Petroleum,0,Gallons,0
0111176,#,SPRING ST & BROADWAY,,KINGSTON,Ulster,,5630,3,02/25/2002,02/25/2002,Unknown,,"Institutional, Educational, Gov., Other",06/30/2010,#2 fuel oil,Petroleum,0,Gallons,0
9813853,#0284 VAULT,164TH ST & 89TH AVE,,QUEENS,Queens,,4101,2,02/15/1999,02/15/1999,Equipment Failure,,Commercial/Industrial,10/21/2002,transformer oil,Petroleum,1,Gallons,0
9906292,#1 GAS TURBINE,20TH AVE & 21ST ST,,NEW YORK,Queens,,4101,2,08/26/1999,08/26/1999,Equipment Failure,,Commercial/Industrial,08/30/1999,propylene glycol,Other,25,Gallons,0
0300950,#1 LAGOON GE SILICONES,260 HUDSON RIVER ROAD,,WATERFORD,Saratoga,,4654,5,04/28/2003,04/28/2003,Unknown,&#35;1 LAGOON,Commercial/Industrial,05/01/2003,siloxane oil,Other,1,Gallons,0
0511064,#1 OILY WASTE SEPERATER,140 SAMSONDALE AVE,,WEST HAVERSTRAW,Rockland,,4422,3,12/21/2005,12/21/2005,Equipment Failure,,Commercial/Industrial,12/21/2005,#6 fuel oil,Petroleum,0,Gallons,0
8806502,#1 ROCKVILLE CENTRE ASSOCIATE,1 JEFFERSON AVENUE,,ROCKVILLE CENTRE,Nassau,,3020,1,11/03/1988,11/03/1988,Tank Test Failure,,Commercial/Industrial,12/01/1988,#4 fuel oil,Petroleum,0,Gallons,0
8810080,#1 SPEED,712 BRADLEY STREET,,WATERTOWN,Jefferson,,2358,6,03/29/1989,03/29/1989,Deliberate,NONE,Commercial/Industrial,04/03/1989,waste oil/used oil,Petroleum,5,Gallons,5
8810080,#1 SPEED,712 BRADLEY STREET,,WATERTOWN,Jefferson,,2358,6,03/29/1989,03/29/1989,Deliberate,NONE,Commercial/Industrial,04/03/1989,nonene,Other,0,,0
9003566,#1 TIRE STORE CURRY RD RT 7,1955 CURRY RD   RT 7,,SCHENECTADY  ROTTERDAM,Schenectady,,4728,4,06/27/1990,06/28/1990,Unknown,,Unknown,09/11/1990,unknown material,Other,0,Gallons,0
8809887,#1 TIRE WESTERN AVE DRUMS RT 20,WESTERN AVE  RT 20,,GUILDERLAND,Albany,,0130,4,03/23/1989,03/23/1989,Abandoned Drums,,Commercial/Industrial,09/10/1990,waste oil/used oil,Petroleum,0,Gallons,0
0651468,#1187 HONEOYE FALLS #6 ROAD,MVA NEAR #1187 HONEOYE FALLS #6 ROAD,,RUSH,Monroe,14543,2850,8,11/04/2006,11/04/2006,Traffic Accident,,Commercial Vehicle,11/13/2006,diesel,Petroleum,20,Gallons,0
9407778,#1332 POLE (#83 LINE),RT. 124,,POUND RIDGE,Westchester,,6046,3,09/09/1994,09/12/1994,Other,,Commercial/Industrial,09/15/1994,non PCB oil,Petroleum,14,Gallons,0
9407778,#1332 POLE (#83 LINE),RT. 124,,POUND RIDGE,Westchester,,6046,3,09/09/1994,09/12/1994,Other,,Commercial/Industrial,09/15/1994,transformer oil,Petroleum,0,,0
0003780,#2 BRIDGE,RT 97/HOOK RD,,SPARROW BUSH,Orange,,3628,3,06/27/2000,06/27/2000,Unknown,,Unknown,04/15/2009,paving oil,Petroleum,6,Gallons,0
9903576,#2 EAST 29TH ST SUBSTATIO,108 E 29TH ST,,MANHATTAN,New York,,3101,2,06/28/1999,06/28/1999,Equipment Failure,,Commercial/Industrial,05/18/2000,transformer oil,Petroleum,1,Gallons,0
2307439,#2 F/O IN GULLY (SMITH RESIDENCE),3666 MIDDLE ROAD,,BURDETT,Schuyler,14818,4926,8,12/08/2023,12/08/2023,Traffic Accident,,Tank Truck,,diesel,Petroleum,300,Gallons,0
0508699,#2 FO IN EXCAVATION,470 WEST 165TH ST,,MANHATTAN,New York,,3101,2,10/20/2005,10/20/2005,Unknown,,Unknown,11/23/2005,unknown petroleum,Petroleum,3,Gallons,0
0203386,#2 FUEL OIL / WEED KILLER,42 CANNON STREET,,POUGHKEEPSIE,Dutchess,,1446,3,06/30/2002,06/30/2002,Deliberate,,Private Dwelling,07/03/2002,#2 fuel oil,Petroleum,15,Gallons,0
0203423,#2 FUEL OIL / WEED KILLER,46 CANNON ST,,POUGHKEEPSIE,Dutchess,,1446,3,06/29/2002,07/01/2002,Deliberate,,"Institutional, Educational, Gov., Other",07/01/2002,gasoline,Petroleum,0,Gallons,0
1305446,#2 FUEL OIL SPILL FROM FILL PIPE,41 ELLIOT PLACE,,BRONX,Bronx,,0301,2,08/20/2013,08/20/2013,Equipment Failure,,Commercial/Industrial,07/23/2018,#2 fuel oil,Petroleum,5,Gallons,0
0300033,#2 FUEL OIL SPILL TO BASEMENT,149 CLIFTON PLACE,,BROOKLYN,Kings,,2401,2,03/26/2003,04/01/2003,Other,,Private Dwelling,11/06/2003,#2 fuel oil,Petroleum,150,Gallons,0
1307550,#2 FUEL OIL SPILL,204 - 206 WEST 133RD ST,,MANHATTAN,New York,,3101,2,10/23/2013,10/23/2013,Equipment Failure,,Commercial/Industrial,10/23/2013,#2 fuel oil,Petroleum,5,Gallons,0
0751603,#2 FUEL OIL TANK,100 ENERGY BLVD.,,NIAGARA FALLS,Niagara,,3211,9,03/31/2008,03/31/2008,Equipment Failure,,Commercial/Industrial,03/31/2008,#2 fuel oil,Petroleum,5,Gallons,5
8605574,"#2 FUEL OIL/ 130-19,116 A",130-19 116TH AVE.,,NEW YORK CITY,Queens,,4101,2,12/03/1986,12/03/1986,Equipment Failure,SEWERS,Private Dwelling,12/03/1986,#2 fuel oil,Petroleum,0,Gallons,0
1214667,#2 FUEL SPILL AND VAPOR COMPLAINTS,119 BROOKLYN AVENUE,,BROOKLYN,Kings,,2401,2,01/15/2013,01/16/2013,Equipment Failure,,Private Dwelling,02/13/2014,#2 fuel oil,Petroleum,152,Gallons,0
1511260,#2 FUEL SPILL ON STREET,7 WEST 66TH STREET,,MANHATTAN,New York,,3101,2,02/24/2016,02/24/2016,Human Error,,"Institutional, Educational, Gov., Other",03/30/2016,#2 fuel oil,Petroleum,0.05,Gallons,0
2207866,#2 FUEL TANK LEAK - RESIDENCE,237 COUNTY RTE 43 LOT 5,,MASSENA,St Lawrence,,4558,6,12/21/2022,12/21/2022,Equipment Failure,,Private Dwelling,,#2 fuel oil,Petroleum,40,Gallons,0
0912334,#2 LAGOON,260 HUDSON RIVER RD,,WATERFORD,Saratoga,,4654,5,02/25/2010,02/25/2010,Unknown,,Commercial/Industrial,03/29/2010,methyl chloride,Hazardous Material,1.43,Pounds,0
0800938,#2 OIL : RESIDENCE,55 FAIRWAY DRIVE,,PAWLING,Dutchess,,1440,3,04/05/2008,04/23/2008,Equipment Failure,,Private Dwelling,04/23/2008,#2 fuel oil,Petroleum,4,Gallons,4
0511063,#2 OIL GUN CLEANING,140 SAMSONDALE AVE,,WEST HAVERSTRAW,Rockland,,4422,3,12/21/2005,12/21/2005,Unknown,,Commercial/Industrial,12/21/2005,#6 fuel oil,Petroleum,4,Gallons,2
8601792,#2 SHEEN UPPER BAY,UPPER BAY,,NYC BROOKLYN,Kings,,2401,2,06/15/1986,06/15/1986,Unknown,UPPER BAY,Unknown,06/15/1986,#2 fuel oil,Petroleum,0,Gallons,0
1607796,#2-322687,60 BAY ST,,STATEN ISLAND,Richmond,,4301,2,11/09/2016,11/09/2016,Tank Test Failure,,Commercial Vehicle,05/25/2017,#2 fuel oil,Petroleum,0,,0
1602923,#20,46 ELM ST OFF RT 11,,CHAMPLAIN,Clinton,,1028,5,06/23/2016,06/23/2016,Other,,Commercial/Industrial,07/22/2016,unknown material,Other,1000,Gallons,0
9509467,#211805,9 WALNUT PLACE,,thornwood,Westchester,,6000,3,10/09/1995,10/31/1995,Equipment Failure,,Commercial/Industrial,11/06/1995,wastewater,Other,1,Gallons,1
8704710,#2FO & NAOH,315 ODGENS ST,,OGDENSBURG,St Lawrence,,4512,6,09/06/1987,09/06/1987,Human Error,,Private Dwelling,09/16/1987,#2 fuel oil,Petroleum,0,,0
9911046,#3 BORING HOLE,500 KENT AVE,,BROOKLYN,Kings,,2401,2,12/17/1999,12/17/1999,Unknown,,Unknown,01/09/2008,unknown petroleum,Petroleum,0,Gallons,0
9514462,#3 MILL GOUVENERUR TALC,62 POPPLE HILL RD,,FOWLER,St Lawrence,,4538,6,02/12/1996,02/12/1996,Traffic Accident,,"Institutional, Educational, Gov., Other",02/13/1996,diesel,Petroleum,150,Gallons,0
1001323,#3 ROOFTOP A/C UNIT,511 THEODORE FREMD AVE.,,RYE,Westchester,,6048,3,05/04/2010,05/04/2010,Equipment Failure,,Commercial/Industrial,05/04/2010,other  -  R-22 REFRIDGERANT,Other,95,Pounds,0
2106776,#3 WIND FARM,OFF OF VARY RD,,HARRISBURG,Lewis,,2528,6,10/20/2021,10/20/2021,Equipment Failure,,Commercial/Industrial,10/20/2021,hydraulic oil,Petroleum,0.5,Gallons,0
2203704,#3 WIND PROJECT,7427 EAST RD,,LOWVILLE,Lewis,,2540,6,07/28/2022,07/28/2022,Equipment Failure,,Commercial/Industrial,02/01/2023,hydraulic oil,Petroleum,15,Gallons,0
1505987,#3133,109 WINDERMERE AVE,,GREENWOOD LAKE,Orange,,3654,3,09/04/2015,09/04/2015,Human Error,,Gasoline Station or other PBS Facility,09/04/2015,gasoline,Petroleum,6,Gallons,0
0407112,#32535 HESS GAS STATION,1201 WEBSTER AVENUE,,BRONX,Bronx,,0301,2,09/27/2004,09/27/2004,Other,,Gasoline Station or other PBS Facility,01/13/2006,#2 fuel oil,Petroleum,0,Pounds,0
0311283,#3743 MANHOLE,ARDEN AVE/SOUTH OF WEST S,,STATEN ISLAND,Richmond,,4301,2,01/05/2004,01/05/2004,Unknown,,Unknown,03/10/2004,dielectric fluid,Petroleum,3,Gallons,0
1306665,#4 FUEL SPILL FROM VENT PIPE,731 WHITE PLAINS ROAD,,BRONX,Bronx,,0301,2,09/25/2013,09/25/2013,Equipment Failure,,Commercial/Industrial,09/30/2013,#4 fuel oil,Petroleum,6,Gallons,0
0380043,#4 SCHUYLER HEIGHTS DRIVE,4 SCHUYLER,,VICTORY,Saratoga,,4600,5,10/16/2003,10/16/2003,Human Error,,Private Dwelling,01/21/2004,kerosene,Petroleum,20,Gallons,0
9800018,#5 DUKE AVE,5 DUKE AVE,,CADYVILLE,Clinton,,1000,5,03/01/1998,03/31/1998,Equipment Failure,,Passenger Vehicle,07/14/1998,gasoline,Petroleum,0,Gallons,0
9514484,#5 FUEL OIL LINE FROM,417 E.35TH ST   KIPS BAY,,MANHATTAN,New York,,3101,2,02/12/1996,02/12/1996,Equipment Failure,,Commercial/Industrial,03/24/2006,#4 fuel oil,Petroleum,0,Gallons,0
9613808,#5 SAND BROOK CONDO,WHITEFACE INN RD,,LAKE PLACID,Essex,,1600,5,02/21/1997,02/21/1997,Housekeeping,LAKE PLACID,Passenger Vehicle,02/21/1997,gasoline,Petroleum,0,Gallons,0
9108211,"#500 NY PARKS DEPOT,CHRYS",#500 RT. 303,,TAPPAN,Rockland,,4400,3,10/31/1991,10/31/1991,Tank Failure,,Commercial/Industrial,03/31/1992,waste oil/used oil,Petroleum,200,Gallons,0
8602591,#6  IN MNHLE-173 ST & SEL,173 ST & SELWYN AVE.,,NEW YORK CITY,Bronx,,0301,2,07/21/1986,07/21/1986,Unknown,,Unknown,07/21/1986,gasoline,Petroleum,0,,0
0607006,#6 FO FOUND IN RETIRED MOAT AT DOCK,74 ST & YORK AVE.  GENERATING STATION,,MANHATTAN,New York,,3101,2,09/18/2006,09/18/2006,Unknown,,Unknown,10/15/2008,unknown petroleum,Petroleum,4,Gallons,0
1109438,#6 FUEL OIL IN BASEMENT ADJACENT TO UST,105 EAST 106TH STREET,,MANHATTAN,New York,,3101,2,10/28/2011,10/28/2011,Equipment Failure,,Commercial/Industrial,05/02/2016,#6 fuel oil,Petroleum,4,Gallons,0
1401602,#6 FUEL OIL OVERFILL,653 EAST 182ND STREET,,BRONX,Bronx,,0301,2,05/14/2014,05/14/2014,Unknown,,Commercial/Industrial,08/19/2014,#6 fuel oil,Petroleum,25,Gallons,25
1112423,#6 FUEL OIL SPILL AT ROYAL YORK APARTMENTS,420 EAST 64TH STREET,,MANHATTAN,New York,,3101,2,01/26/2012,01/26/2012,Equipment Failure,,Commercial/Industrial,07/24/2013,#6 fuel oil,Petroleum,5,Gallons,0
1307454,#6 FUEL OIL SPILL TO BASEMENT,221 EAST 78TH STREET,,MANHATTAN,New York,,3101,2,10/21/2013,10/21/2013,Equipment Failure,,Commercial/Industrial,03/18/2014,#6 fuel oil,Petroleum,100,Gallons,0
1401578,#6 FUEL OIL SPILL TO PLANTER,1500 GRAND CONCOURSE,,BRONX,Bronx,,0301,2,05/14/2014,05/14/2014,Equipment Failure,,Commercial/Industrial,05/16/2014,#6 fuel oil,Petroleum,10,Gallons,0
1212834,#6 FUEL OIL SPILL TO SIDEWALK,3333 BROADWAY,,MANHATTAN,New York,,3101,2,11/30/2012,11/30/2012,Equipment Failure,,Commercial Vehicle,11/30/2012,#6 fuel oil,Petroleum,10,Gallons,10
1307507,#6 FUEL OIL SPILL TO SIDEWALK/SUBWAY/SEWER,485 7TH AVE,,NEW YORK,New York,,3101,2,10/22/2013,10/22/2013,Equipment Failure,,Commercial/Industrial,05/21/2014,#6 fuel oil,Petroleum,50,,0
0204815,#6 LEAK - TO METRO TRACKS,2400 JOHNSON AVE,,RIVERDALE,Bronx,,0301,2,08/06/2002,08/06/2002,Equipment Failure,,Private Dwelling,11/03/2003,#6 fuel oil,Petroleum,0,Gallons,0
0907511,#6 OIL PUMP PAD,4101 ARTHUR KILL RD,,STATEN IS,Richmond,,4301,2,10/04/2009,10/04/2009,Equipment Failure,,Commercial/Industrial,11/10/2009,#6 fuel oil,Petroleum,100,Gallons,0
1112016,#6 OIL SEEPAGE INTO CON EDISON MAHHOLE 15126,147-25 SANFORD AVENUE,FAIRMONT HALL,QUEENS,Queens,,4101,2,01/13/2012,01/13/2012,Unknown,,Commercial/Industrial,03/28/2014,unknown petroleum,Petroleum,0,,0
1202803,#6 SPILL AT KISSENA CO OP APT INC,43-34 UNION STREET,,QUEENS,Queens,,4101,2,06/21/2012,06/21/2012,Equipment Failure,,Gasoline Station or other PBS Facility,09/04/2015,#6 fuel oil,Petroleum,0,,0
1801316,#6,WESTOVER LOOP,,LAKE GEORGE,Warren,,5722,5,05/05/2018,05/05/2018,Storm,,Transformer,12/19/2018,transformer oil,Petroleum,0.25,Gallons,0
1010683,#6H/LEASE SITE FOR GAS FIELD,DUNHAM RD,,SMYRNA,Chenango,,0960,7,01/17/2011,01/17/2011,Human Error,,Commercial Vehicle,03/27/2012,diesel,Petroleum,100,Gallons,0
9410971,#7 GOUVERNEUR SLIP EAST,#7 GOUVERNEUR SLIP EAST,,NEW YORK,New York,,3101,2,11/16/1994,11/16/1994,Housekeeping,,"Institutional, Educational, Gov., Other",11/08/1995,#6 fuel oil,Petroleum,0,Pounds,0
9410971,#7 GOUVERNEUR SLIP EAST,#7 GOUVERNEUR SLIP EAST,,NEW YORK,New York,,3101,2,11/16/1994,11/16/1994,Housekeeping,,"Institutional, Educational, Gov., Other",11/08/1995,asbestos,Hazardous Material,0,Pounds,0
0307082,#7 SUBWAY EXTENSION-NYCT,10TH AVE & WEST 41ST ST,,MANHATTAN,New York,,3101,2,10/06/2003,10/06/2003,Unknown,,Commercial Vehicle,04/26/2013,diesel,Petroleum,0,Gallons,0
8907136,#8 FORSYTH PLACE,8 FORSYTH PLACE,,NEWBURGH,Orange,,3646,3,10/19/1989,10/19/1989,Other,,Private Dwelling,10/19/1989,unknown petroleum,Petroleum,0,,0
